Temperature,Ice Cream Profits
39,13.17
40,11.88
41,18.82
42,18.65
43,17.02
43,15.88
44,19.07
44,19.57
45,21.62
45,22.34
45,19.23
46,21.25
46,19.81
47,22.12
48,24.22
48,24.68
48,23.78
48,26.41
48,25.01
48,22.29
49,27.81
49,23.54
50,22.89
50,25.68
50,27.29
50,27.64
50,27.31
51,21.93
51,32.18
52,30.67
52,28.05
52,28.82
52,27.87
52,29.39
53,32.6
53,31.62
53,25.71
53,28.48
54,30.09
54,33.58
54,29.75
54,31.94
54,33.71
54,28.37
54,27.41
54,27.99
54,30.37
55,27.68
55,29.53
55,33.91
55,34.19
56,33.22
56,34.47
57,30.89
57,35.8
58,33.44
58,36.79
58,31.56
58,35.13
58,36.11
58,32.39
59,38.18
59,29.69
59,38.47
59,37.74
59,36.71
59,32.29
59,37.5
59,35.33
60,35.06
60,36.25
60,40.25
60,39.69
60,40.95
61,37.96
61,38.1
61,38.21
61,37.3
61,39.53
61,37.42
61,39.42
61,38.16
61,37.66
62,39.04
62,41.44
62,40.19
62,37.93
63,50.17
63,44.15
63,41.58
63,40.59
63,39.17
64,40.57
64,40.28
64,41.21
64,44.85
64,40.94
64,40.14
64,38.57
64,44.07
64,44.1
65,47.36
65,45.38
65,41.09
65,43.78
65,42.72
65,42.1
65,43.28
65,44.31
65,42.71
66,43.03
66,42.16
66,46.74
66,47.68
66,44.48
66,47.52
66,44.98
66,45.07
66,45.42
66,47.36
