Temperature,Ice Cream Profits
66,48.26
66,51.75
66,45.05
66,40.65
67,48.65
67,45.26
67,46.04
67,44.85
67,42.94
67,50.62
68,45.65
68,49.37
68,45.89
68,50.74
68,47.17
68,49.6
68,41.68
68,46.9
68,47.35
68,47.73
68,43.73
68,47.47
69,51.38
69,41.74
69,49.88
69,47.78
69,42.5
69,48.77
70,49.46
70,50.87
70,49.12
70,49.95
70,50.31
70,49.32
70,52.67
70,52.05
70,48.82
71,53.33
71,54.59
71,53.77
71,49.6
71,52.17
71,46.74
71,53.04
71,49.34
71,55.04
72,57.18
72,51.26
72,53.78
72,51.55
72,50.01
72,53.59
72,52.47
72,48.96
72,53.57
72,50.79
73,52.13
73,52.42
73,54.67
73,51.82
73,53.21
73,54.4
73,55.01
73,54.08
73,53.97
74,55.28
74,54.36
74,53.62
74,50.65
74,55.52
74,58.61
74,50.64
74,54.28
74,53.95
74,53.44
74,57.1
74,54.26
75,55.34
75,53.71
75,57.84
75,55.91
75,58.62
75,58.85
76,52.84
76,56.59
76,59.43
76,59.69
76,53.83
76,59.41
76,53.17
76,53.48
76,59.94
76,60.31
76,60.33
77,53.82
77,53.07
77,59.48
77,54.1
77,56.33
77,59.87
77,60.75
77,56.43
77,60.86
77,55.07
77,58.39
77,58.72
77,57.52
77,56.33
77,57.47
78,58.13
78,60.46
78,60.33
78,60.89
78,62.58
78,61.22
78,59.62
78,58.31
78,59.12
78,57.93
78,57.25
78,62.2
79,59.7
79,64.82
79,57.06
79,62.52
