Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
28,05-02-2010,1672352.29,0,49.47,2.962,126.4420645,13.975
28,12-02-2010,1558968.49,1,47.87,2.946,126.4962581,13.975
28,19-02-2010,1491300.42,0,54.83,2.915,126.5262857,13.975
28,26-02-2010,1542173.33,0,50.23,2.825,126.5522857,13.975
28,05-03-2010,1608435.45,0,53.77,2.987,126.5782857,13.975
28,12-03-2010,1326877.11,0,50.11,2.925,126.6042857,13.975
28,19-03-2010,1279819.43,0,59.57,3.054,126.6066452,13.975
28,26-03-2010,1245268.77,0,60.06,3.083,126.6050645,13.975
28,02-04-2010,1441559.4,0,59.84,3.086,126.6034839,14.099
28,09-04-2010,1382359.21,0,59.25,3.09,126.6019032,14.099
28,16-04-2010,1268240.66,0,64.95,3.109,126.5621,14.099
28,23-04-2010,1244177.21,0,64.55,3.05,126.4713333,14.099
28,30-04-2010,1186971.02,0,67.38,3.105,126.3805667,14.099
28,07-05-2010,1532893.22,0,70.15,3.127,126.2898,14.099
28,14-05-2010,1245898.73,0,68.44,3.145,126.2085484,14.099
28,21-05-2010,1217923.71,0,76.2,3.12,126.1843871,14.099
28,28-05-2010,1176588.25,0,67.84,3.058,126.1602258,14.099
28,04-06-2010,1543678.02,0,81.39,2.941,126.1360645,14.099
28,11-06-2010,1348995.17,0,90.84,2.949,126.1119032,14.099
28,18-06-2010,1267619.06,0,81.06,3.043,126.114,14.099
28,25-06-2010,1231025.07,0,87.27,3.084,126.1266,14.099
28,02-07-2010,1399960.15,0,91.98,3.105,126.1392,14.18
28,09-07-2010,1340293.87,0,90.37,3.1,126.1518,14.18
28,16-07-2010,1225336.41,0,97.18,3.094,126.1498065,14.18
28,23-07-2010,1205884.98,0,99.22,3.112,126.1283548,14.18
28,30-07-2010,1150204.71,0,96.31,3.017,126.1069032,14.18
28,06-08-2010,1523101.38,0,92.95,3.123,126.0854516,14.18
28,13-08-2010,1218688.09,0,87.01,3.159,126.064,14.18
28,20-08-2010,1195897.6,0,92.81,3.041,126.0766452,14.18
28,27-08-2010,1191585.92,0,93.19,3.129,126.0892903,14.18
28,03-09-2010,1523410.71,0,83.12,3.087,126.1019355,14.18
28,10-09-2010,1246062.17,1,83.63,3.044,126.1145806,14.18
28,17-09-2010,1159812.35,0,82.45,3.028,126.1454667,14.18
28,24-09-2010,1111797.21,0,81.77,2.939,126.1900333,14.18
28,01-10-2010,1203080.41,0,85.2,3.001,126.2346,14.313
28,08-10-2010,1334571.87,0,71.82,3.013,126.2791667,14.313
28,15-10-2010,1158062.99,0,75.0,2.976,126.3266774,14.313
28,22-10-2010,1120619.32,0,68.85,3.014,126.3815484,14.313
28,29-10-2010,1231688.48,0,61.09,3.016,126.4364194,14.313
28,05-11-2010,1501663.26,0,65.49,3.129,126.4912903,14.313
28,12-11-2010,1266460.45,0,57.79,3.13,126.5461613,14.313
28,19-11-2010,1179315.72,0,58.18,3.161,126.6072,14.313
28,26-11-2010,1937033.5,1,47.66,3.162,126.6692667,14.313
28,03-12-2010,1447916.29,0,43.33,3.041,126.7313333,14.313
28,10-12-2010,1466164.49,0,50.01,3.203,126.7934,14.313
28,17-12-2010,1510443.62,0,52.77,3.236,126.8794839,14.313
28,24-12-2010,2026026.39,0,52.02,3.236,126.9835806,14.313
28,31-12-2010,1090558.57,1,45.64,3.148,127.0876774,14.313
28,07-01-2011,1402902.47,0,37.64,3.287,127.1917742,14.021
28,14-01-2011,1098286.61,0,43.15,3.312,127.3009355,14.021
28,21-01-2011,1079669.11,0,53.53,3.223,127.4404839,14.021
28,28-01-2011,1127859.69,0,50.74,3.342,127.5800323,14.021
28,04-02-2011,1564897.32,0,45.14,3.348,127.7195806,14.021
28,11-02-2011,1397301.38,1,51.3,3.381,127.859129,14.021
28,18-02-2011,1514828.82,0,53.35,3.43,127.99525,14.021
28,25-02-2011,1311796.91,0,48.45,3.53,128.13,14.021
28,04-03-2011,1723736.91,0,51.72,3.674,128.26475,14.021
28,11-03-2011,1380836.35,0,57.75,3.818,128.3995,14.021
28,18-03-2011,1286413.71,0,64.21,3.692,128.5121935,14.021
28,25-03-2011,1201059.72,0,54.4,3.909,128.6160645,14.021
28,01-04-2011,1336838.41,0,63.63,3.772,128.7199355,13.736
28,08-04-2011,1414713.5,0,64.47,4.003,128.8238065,13.736
28,15-04-2011,1240126.07,0,57.63,3.868,128.9107333,13.736
28,22-04-2011,1297452.0,0,72.12,4.134,128.9553,13.736
28,29-04-2011,1222367.9,0,68.27,4.151,128.9998667,13.736
28,06-05-2011,1515890.38,0,68.4,4.193,129.0444333,13.736
28,13-05-2011,1253316.3,0,70.93,4.202,129.089,13.736
28,20-05-2011,1151282.31,0,66.59,4.169,129.0756774,13.736
28,27-05-2011,1160043.98,0,76.67,4.087,129.0623548,13.736
28,03-06-2011,1403779.25,0,71.81,4.031,129.0490323,13.736
28,10-06-2011,1339972.83,0,78.72,3.981,129.0357097,13.736
28,17-06-2011,1268503.49,0,86.84,3.935,129.0432,13.736
28,24-06-2011,1208809.34,0,88.95,3.898,129.0663,13.736
28,01-07-2011,1319054.57,0,89.85,3.842,129.0894,13.503
28,08-07-2011,1459655.85,0,89.9,3.705,129.1125,13.503
28,15-07-2011,1197373.13,0,88.1,3.692,129.1338387,13.503
28,22-07-2011,1165870.54,0,91.17,3.794,129.1507742,13.503
28,29-07-2011,1114530.29,0,93.29,3.805,129.1677097,13.503
28,05-08-2011,1523870.89,0,90.61,3.803,129.1846452,13.503
28,12-08-2011,1218764.94,0,91.04,3.701,129.2015806,13.503
28,19-08-2011,1200019.74,0,91.74,3.743,129.2405806,13.503
28,26-08-2011,1166479.51,0,94.61,3.74,129.2832581,13.503
28,02-09-2011,1468871.49,0,93.66,3.798,129.3259355,13.503
28,09-09-2011,1310087.0,1,88.0,3.913,129.3686129,13.503
28,16-09-2011,1159212.1,0,76.36,3.918,129.4306,13.503
28,23-09-2011,1109105.92,0,82.95,3.789,129.5183333,13.503
28,30-09-2011,1120731.76,0,83.26,3.877,129.6060667,13.503
28,07-10-2011,1557314.58,0,70.44,3.827,129.6938,12.89
28,14-10-2011,1220984.94,0,67.31,3.805,129.7706452,12.89
28,21-10-2011,1203172.05,0,73.05,3.842,129.7821613,12.89
28,28-10-2011,1242746.06,0,67.41,3.727,129.7936774,12.89
28,04-11-2011,1576654.67,0,59.77,3.828,129.8051935,12.89
28,11-11-2011,1402654.95,0,48.76,3.824,129.8167097,12.89
28,18-11-2011,1255081.22,0,54.2,3.813,129.8268333,12.89
28,25-11-2011,1929738.27,1,53.25,3.622,129.8364,12.89
28,02-12-2011,1368130.35,0,52.5,3.701,129.8459667,12.89
28,09-12-2011,1467024.3,0,42.17,3.644,129.8555333,12.89
28,16-12-2011,1429954.66,0,43.29,3.6,129.8980645,12.89
28,23-12-2011,1796203.51,0,45.4,3.541,129.9845484,12.89
28,30-12-2011,1270036.53,1,44.64,3.428,130.0710323,12.89
28,06-01-2012,1466046.07,0,50.43,3.599,130.1575161,12.187
28,13-01-2012,1161190.29,0,48.07,3.657,130.244,12.187
28,20-01-2012,1129540.48,0,46.2,3.66,130.2792258,12.187
28,27-01-2012,1132948.48,0,50.43,3.675,130.3144516,12.187
28,03-02-2012,1531599.44,0,50.58,3.702,130.3496774,12.187
28,10-02-2012,1572966.15,1,52.27,3.722,130.3849032,12.187
28,17-02-2012,1501503.68,0,51.8,3.781,130.4546207,12.187
28,24-02-2012,1323487.91,0,53.13,3.95,130.5502069,12.187
28,02-03-2012,1451740.57,0,52.27,4.178,130.6457931,12.187
28,09-03-2012,1680764.06,0,54.54,4.25,130.7413793,12.187
28,16-03-2012,1337875.49,0,64.44,4.273,130.8261935,12.187
28,23-03-2012,1216059.41,0,56.26,4.038,130.8966452,12.187
28,30-03-2012,1209524.11,0,64.36,4.294,130.9670968,12.187
28,06-04-2012,1559592.79,0,64.05,4.121,131.0375484,11.627
28,13-04-2012,1290684.95,0,64.28,4.254,131.108,11.627
28,20-04-2012,1180797.2,0,66.73,4.222,131.1173333,11.627
28,27-04-2012,1170456.16,0,77.99,4.193,131.1266667,11.627
28,04-05-2012,1450628.85,0,76.03,4.171,131.136,11.627
